LID , TYPE , CA , PLAND , NP , PD , LPI , TE , ED , LSI , AREA_MN , AREA_SD , AREA_CV , GYRATE_MN , GYRATE_SD , GYRATE_CV , SHAPE_MN , SHAPE_SD , SHAPE_CV , FRAC_MN , FRAC_SD , FRAC_CV , PARA_MN , PARA_SD , PARA_CV , CIRCLE_MN , CIRCLE_SD , CIRCLE_CV , CONTIG_MN , CONTIG_SD , CONTIG_CV , PAFRAC , TCA , CPLAND , NDCA , DCAD , CORE_MN , CORE_SD , CORE_CV , DCORE_MN , DCORE_SD , DCORE_CV , CAI_MN , CAI_SD , CAI_CV , PROX_MN , PROX_SD , PROX_CV , ENN_MN , ENN_SD , ENN_CV , CLUMPY , PLADJ , IJI , CONNECT , COHESION , DIVISION , MESH , SPLIT , AI , NLSI
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_71 ,    2722.2300 ,      10.1242 ,    1307.0000 ,       4.8608 ,       0.2243 , 1368570.0000 ,      50.8982 ,      65.8448 ,       2.0828 ,       3.9525 ,     189.7682 ,      65.6448 ,      48.8957 ,      74.4853 ,       1.7601 ,       0.6502 ,      36.9409 ,       1.1180 ,       0.0554 ,       4.9593 ,     692.8028 ,     210.9493 ,      30.4487 ,       0.6762 ,       0.1325 ,      19.5935 ,       0.4455 ,       0.1510 ,      33.8829 ,       1.6061 ,    2722.2300 ,      10.1242 ,    1307.0000 ,       4.8608 ,       2.0828 ,       3.9525 ,     189.7682 ,       2.0828 ,       3.9525 ,     189.7682 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,     113.1539 ,      82.5035 ,      72.9127 ,       0.5825 ,      62.1219 ,      67.5580 ,       0.0000 ,      85.9163 ,       1.0000 ,       0.9702 ,   27713.0965 ,      62.4813 ,       0.3752
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_42 ,    8894.6100 ,      33.0797 ,    1024.0000 ,       3.8083 ,       2.7869 , 2233530.0000 ,      83.0667 ,      59.7170 ,       8.6861 ,      35.4549 ,     408.1781 ,      95.5321 ,     118.2809 ,     123.8127 ,       1.8322 ,       0.9509 ,      51.8985 ,       1.1092 ,       0.0566 ,       5.1070 ,     555.4494 ,     226.1167 ,      40.7088 ,       0.6313 ,       0.1240 ,      19.6359 ,       0.5478 ,       0.1721 ,      31.4070 ,       1.4888 ,    8894.6100 ,      33.0797 ,    1024.0000 ,       3.8083 ,       8.6861 ,      35.4549 ,     408.1781 ,       8.6861 ,      35.4549 ,     408.1781 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,      88.5048 ,      51.1318 ,      57.7730 ,       0.7199 ,      80.9965 ,      62.1756 ,       0.0000 ,      96.2324 ,       0.9981 ,      50.7461 ,     529.8613 ,      81.2550 ,       0.1874
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_41 ,    6735.4200 ,      25.0495 ,    1206.0000 ,       4.4852 ,       0.8639 , 2563290.0000 ,      95.3307 ,      78.5146 ,       5.5849 ,      16.0308 ,     287.0366 ,      96.0243 ,     102.9498 ,     107.2122 ,       2.0357 ,       1.1439 ,      56.1917 ,       1.1277 ,       0.0622 ,       5.5177 ,     607.4275 ,     208.8819 ,      34.3880 ,       0.6819 ,       0.1223 ,      17.9328 ,       0.5087 ,       0.1555 ,      30.5765 ,       1.6060 ,    6735.4200 ,      25.0495 ,    1206.0000 ,       4.4852 ,       5.5849 ,      16.0308 ,     287.0366 ,       5.5849 ,      16.0308 ,     287.0366 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,      85.6311 ,      45.2950 ,      52.8956 ,       0.6200 ,      71.2539 ,      66.9338 ,       0.0000 ,      94.2176 ,       0.9995 ,      12.9253 ,    2080.2851 ,      71.5157 ,       0.2848
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_81 ,    2557.0800 ,       9.5100 ,     401.0000 ,       1.4913 ,       0.8070 ,  865200.0000 ,      32.1774 ,      42.9053 ,       6.3768 ,      15.1597 ,     237.7339 ,     108.0771 ,      96.4045 ,      89.1998 ,       2.0432 ,       0.9284 ,      45.4385 ,       1.1278 ,       0.0587 ,       5.2035 ,     490.8791 ,     185.4233 ,      37.7737 ,       0.6656 ,       0.1266 ,      19.0227 ,       0.6004 ,       0.1396 ,      23.2462 ,       1.6257 ,    2557.0800 ,       9.5100 ,     401.0000 ,       1.4913 ,       6.3768 ,      15.1597 ,     237.7339 ,       6.3768 ,      15.1597 ,     237.7339 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,     143.2685 ,     121.0112 ,      84.4646 ,       0.7229 ,      74.4791 ,      70.6395 ,       0.0000 ,      93.2938 ,       0.9998 ,       4.0338 ,    6665.7708 ,      74.9248 ,       0.2508
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_21 ,    1755.6300 ,       6.5293 ,     913.0000 ,       3.3955 ,       0.3725 , 1116090.0000 ,      41.5082 ,      66.7071 ,       1.9229 ,       6.8788 ,     357.7281 ,      77.0400 ,     156.8833 ,     203.6386 ,       1.8122 ,       1.3333 ,      73.5719 ,       1.0965 ,       0.0944 ,       8.6134 ,     992.1591 ,     271.6013 ,      27.3748 ,       0.5270 ,       0.3523 ,      66.8537 ,       0.2251 ,       0.1800 ,      79.9454 ,       1.6882 ,    1755.6300 ,       6.5293 ,     913.0000 ,       3.3955 ,       1.9229 ,       6.8788 ,     357.7281 ,       1.9229 ,       6.8788 ,     357.7281 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,      74.0890 ,      45.1998 ,      61.0075 ,       0.4918 ,      52.1249 ,      70.2312 ,       0.0000 ,      91.6649 ,       0.9999 ,       1.7323 ,   15522.1511 ,      52.5017 ,       0.4750
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_43 ,     328.2300 ,       1.2207 ,     421.0000 ,       1.5657 ,       0.0204 ,  251370.0000 ,       9.3486 ,      34.8347 ,       0.7796 ,       0.5665 ,      72.6616 ,      43.5645 ,      17.0447 ,      39.1251 ,       1.5747 ,       0.4028 ,      25.5768 ,       1.1120 ,       0.0487 ,       4.3835 ,     824.4720 ,     173.5848 ,      21.0541 ,       0.6625 ,       0.1129 ,      17.0489 ,       0.3542 ,       0.1090 ,      30.7868 ,       1.8804 ,     328.2300 ,       1.2207 ,     421.0000 ,       1.5657 ,       0.7796 ,       0.5665 ,      72.6616 ,       0.7796 ,       0.5665 ,      72.6616 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,     270.7591 ,     240.6448 ,      88.8778 ,       0.4222 ,      42.2128 ,      54.1790 ,       0.0000 ,      69.3815 ,       1.0000 ,       0.0145 , 1849015.7562 ,      42.9249 ,       0.5708
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_52 ,    1271.0700 ,       4.7272 ,     356.0000 ,       1.3240 ,       0.1593 ,  544950.0000 ,      20.2671 ,      38.3403 ,       3.5704 ,       5.5139 ,     154.4318 ,      83.8576 ,      56.4654 ,      67.3349 ,       1.9664 ,       0.7645 ,      38.8781 ,       1.1311 ,       0.0569 ,       5.0275 ,     601.8307 ,     219.9766 ,      36.5512 ,       0.6732 ,       0.1257 ,      18.6742 ,       0.5198 ,       0.1636 ,      31.4698 ,       1.5682 ,    1271.0700 ,       4.7272 ,     356.0000 ,       1.3240 ,       3.5704 ,       5.5139 ,     154.4318 ,       3.5704 ,       5.5139 ,     154.4318 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,     208.7435 ,     215.5201 ,     103.2464 ,       0.6670 ,      67.6945 ,      60.3935 ,       0.0000 ,      88.9237 ,       1.0000 ,       0.5713 ,   47064.4233 ,      68.2698 ,       0.3173
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_11 ,     288.0000 ,       1.0711 ,     174.0000 ,       0.6471 ,       0.1640 ,  111780.0000 ,       4.1572 ,      16.4386 ,       1.6552 ,       3.6174 ,     218.5527 ,      49.7985 ,      37.4020 ,      75.1066 ,       1.2712 ,       0.2787 ,      21.9245 ,       1.0600 ,       0.0338 ,       3.1875 ,     555.8475 ,     158.4750 ,      28.5105 ,       0.5681 ,       0.1167 ,      20.5450 ,       0.5372 ,       0.1240 ,      23.0789 ,       1.3818 ,     288.0000 ,       1.0711 ,     174.0000 ,       0.6471 ,       1.6552 ,       3.6174 ,     218.5527 ,       1.6552 ,       3.6174 ,     218.5527 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,     457.5303 ,     353.9196 ,      77.3544 ,       0.7170 ,      70.7188 ,      68.0808 ,       0.0000 ,      82.4650 ,       1.0000 ,       0.1024 ,  262559.2366 ,      72.0013 ,       0.2800
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_90 ,     952.2900 ,       3.5416 ,     254.0000 ,       0.9446 ,       0.4639 ,  365970.0000 ,      13.6107 ,      29.8447 ,       3.7492 ,      10.5634 ,     281.7516 ,      93.5661 ,     134.5377 ,     143.7889 ,       1.8168 ,       0.7980 ,      43.9257 ,       1.1170 ,       0.0570 ,       5.1019 ,     642.9317 ,     188.2434 ,      29.2789 ,       0.7060 ,       0.1356 ,      19.2036 ,       0.4763 ,       0.1416 ,      29.7355 ,       1.5846 ,     952.2900 ,       3.5416 ,     254.0000 ,       0.9446 ,       3.7492 ,      10.5634 ,     281.7516 ,       3.7492 ,      10.5634 ,     281.7516 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,     188.0288 ,     212.8913 ,     113.2227 ,       0.7060 ,      70.9479 ,      54.6798 ,       0.0000 ,      91.8318 ,       1.0000 ,       1.1869 ,   22655.0771 ,      71.6454 ,       0.2835
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_22 ,     748.5300 ,       2.7838 ,    1047.0000 ,       3.8939 ,       0.3019 ,  506970.0000 ,      18.8546 ,      46.4426 ,       0.7149 ,       3.9929 ,     558.5025 ,      32.9317 ,      97.3690 ,     295.6697 ,       1.2813 ,       0.7466 ,      58.2706 ,       1.0471 ,       0.0653 ,       6.2351 ,    1097.3363 ,     253.5958 ,      23.1101 ,       0.3562 ,       0.3258 ,      91.4539 ,       0.1531 ,       0.1649 ,     107.7125 ,       1.6073 ,     748.5300 ,       2.7838 ,    1047.0000 ,       3.8939 ,       0.7149 ,       3.9929 ,     558.5025 ,       0.7149 ,       3.9929 ,     558.5025 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,     110.9334 ,     117.8853 ,     106.2667 ,       0.4800 ,      48.9059 ,      56.0148 ,       0.0000 ,      89.4957 ,       1.0000 ,       0.6407 ,   41966.5573 ,      49.4499 ,       0.5055
C:\Users\Maximilian\ownCloud\09_Packages\landscapemetrics_test_data\augusta_nlcd.tif , cls_23 ,     225.2700 ,       0.8378 ,     453.0000 ,       1.6847 ,       0.0546 ,  167970.0000 ,       6.2469 ,      27.9208 ,       0.4973 ,       1.0135 ,     203.8047 ,      29.5895 ,      27.7272 ,      93.7062 ,       1.2505 ,       0.4610 ,      36.8670 ,       1.0493 ,       0.0590 ,       5.6232 ,    1037.4167 ,     274.3916 ,      26.4495 ,       0.3991 ,       0.3138 ,      78.6415 ,       0.1898 ,       0.1789 ,      94.2388 ,       1.5349 ,     225.2700 ,       0.8378 ,     453.0000 ,       1.6847 ,       0.4973 ,       1.0135 ,     203.8047 ,       0.4973 ,       1.0135 ,     203.8047 ,     100.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,       0.0000 ,     135.1786 ,     202.6160 ,     149.8876 ,       0.4410 ,      43.6676 ,      43.4851 ,       0.0000 ,      73.5759 ,       1.0000 ,       0.0215 , 1252297.9670 ,      44.5668 ,       0.5543
